"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2020-11-22","1791.21","1811.63","1761.75","1782.81","0.00","6878787665"
"NEPSE","2020-11-19","1750.42","1779.21","1750.42","1778.12","0.00","6116730071"
"NEPSE","2020-11-18","1714.86","1741.81","1708.87","1741.81","0.00","4791041649"
"NEPSE","2020-11-12","1713.71","1722.32","1702.7","1718.49","0.00","4256475891"
"NEPSE","2020-11-11","1681.82","1707.67","1681.82","1707.67","0.00","4099604742"
"NEPSE","2020-11-10","1660.37","1678.79","1659.18","1678.79","0.00","4096190256"
"NEPSE","2020-11-09","1648.75","1661.32","1648.75","1652.8","0.00","3699879726"
"NEPSE","2020-11-08","1643.29","1648.58","1637.8","1648.58","0.00","3526777261"
"NEPSE","2020-11-05","1644.94","1645.08","1634.38","1636.17","0.00","2842469177"
"NEPSE","2020-11-04","1645.53","1645.7","1638.69","1640.64","0.00","1757423745"
"NEPSE","2020-11-03","1636.2","1644.61","1635.15","1643.03","0.00","2237964572"
"NEPSE","2020-11-02","1644.01","1646.9","1635.64","1637.63","0.00","2453954688"
"NEPSE","2020-11-01","1654.15","1654.15","1634.63","1640.95","0.00","2930939007"
"NEPSE","2020-10-29","1661.64","1663.41","1640.48","1645.67","0.00","3037694845"
"NEPSE","2020-10-28","1612.5","1647.45","1612.37","1647.45","0.00","2725994069"
"NEPSE","2020-10-22","1609.11","1609.52","1596.22","1606.25","0.00","1994543919"
"NEPSE","2020-10-21","1591.04","1597.71","1588.78","1597.71","0.00","1633246148"
"NEPSE","2020-10-20","1576.62","1583.6","1573.06","1583.6","0.00","1271829990"
"NEPSE","2020-10-19","1556.85","1570.38","1555.46","1570.38","0.00","954656107"
"NEPSE","2020-10-18","1565.9","1567.89","1554.14","1556.8","0.00","1252748181"
"NEPSE","2020-10-15","1564.69","1579.55","1560.69","1562.46","0.00","1425890738"
"NEPSE","2020-10-14","1572.35","1573.08","1560.45","1561.17","0.00","1496387992"
"NEPSE","2020-10-13","1583.29","1584.28","1567.23","1568.59","0.00","1819638977"
"NEPSE","2020-10-12","1580.14","1580.8","1566.7","1578.01","0.00","1949060194"
"NEPSE","2020-10-11","1594.01","1594.36","1574.62","1576.27","0.00","2395432599"
"NEPSE","2020-10-08","1607.52","1614.04","1586.96","1589.63","0.00","2862712521"
"NEPSE","2020-10-07","1593.04","1602.14","1587.59","1600.97","0.00","3358506296"
"NEPSE","2020-10-06","1588.01","1588.01","1581.75","1586.29","0.00","2510585332"
"NEPSE","2020-10-05","1587.31","1594.89","1580.65","1582.12","0.00","2578607088"
"NEPSE","2020-10-04","1577.77","1588.05","1577.77","1585.75","0.00","3178853719"
"NEPSE","2020-10-01","1553.95","1572.94","1553.95","1571.04","0.00","2807708137"
"NEPSE","2020-09-30","1561.58","1563.4","1542.57","1550.43","0.00","1953636694"
"NEPSE","2020-09-29","1564.92","1564.92","1552.77","1553.62","0.00","1829872968"
"NEPSE","2020-09-28","1566.44","1569.31","1557.42","1560.83","0.00","1690154525"
"NEPSE","2020-09-27","1569.06","1575.43","1562.11","1565.55","0.00","3138243371"
"NEPSE","2020-09-24","1565.31","1565.31","1554.38","1561.27","0.00","2233489024"
"NEPSE","2020-09-23","1543.37","1555.52","1535.03","1555.52","0.00","1727821707"
"NEPSE","2020-09-22","1576.55","1577.19","1541.75","1546.15","0.00","2810425268"
"NEPSE","2020-09-21","1587.82","1587.99","1561.49","1569.06","0.00","2637376216"
"NEPSE","2020-09-20","1595.47","1605.12","1574.08","1575.18","0.00","2742795692"
"NEPSE","2020-09-17","1555.86","1577.99","1547.13","1572.18","0.00","3315664319"
"NEPSE","2020-09-16","1537.35","1543.98","1530.67","1541.4","0.00","1845634030"
"NEPSE","2020-09-15","1544.71","1548.35","1531.05","1536.03","0.00","1800197903"
"NEPSE","2020-09-14","1545.68","1553.56","1538.43","1540.51","0.00","3134135908"
"NEPSE","2020-09-13","1528.15","1537.25","1522.28","1537.25","0.00","3386859972"
"NEPSE","2020-09-10","1514.13","1532.48","1512.53","1520.69","0.00","2170068283"
